Unnamed: 0,winery,country,points,description,designation
1104,Sarah's Vineyard,US,87,"This offers an intriguing mix of ripe Golden Delicious apples and a strong alkalinity characterized by crushed chalk. The palate holds tight to a lime-pith line, proving racy and lean, with just a drizzle of honey. It would be great with shellfish.",Estate
1105,Stickybeak,US,87,"Sanguine in cassis, cranberry and wild strawberry, this relatively inexpensive Napa Cab has an herbal edge that suggests elegance and balance. The finish is stamped in oak that lingers on the palate without overwhelming.",
1106,Patterson,US,87,The alcohol—19% as labeled—shows prominently on the aromas of this 88% Touriga Nacional and 12% Sauzao single-vineyard wine from Lonesome Springs Ranch Vineyard. Sweet chocolate and dark fruit flavors offer plenty of appeal.,Port
1107,Pedroncelli,US,87,"Medium in weight, this offers a richness of plum and medium acidity surrounded by sizable tannin and oak. Cherry, dark currant and leather round out the characteristics, the wine aged in both French and American oak. The price is nice.",Three Vineyards
1108,Perazzeta,Italy,87,"This Sangiovese features aromas of blue flower, dark berry and a balsamic note. The extracted palate delivers dried black cherry, ground pepper and espresso alongside bracing tannins that leave a drying, astringent finish.",
1109,Waterbrook,US,87,"Lighter in color and 100% varietal, this wine offers high-toned notes of plum, cinnamon stick and licorice. The blue and red fruit flavors are broad in feel with a light squeeze on tannins.",
1110,Palacio del Burgo,Spain,90,"Charred, earthy black-fruit aromas are smoky and power-packed. This feels full yet balanced, with freshness and strong tannins. Ripe berry, prune and oak-spice flavors finish with a note of vanilla and length. For a Crianza from a tough vintage, this is commendable.",Crianza
1111,Passaggio,US,90,"This light-bodied wine has aromas of grapefruit and prosciutto, flavors of melon and toasted almond, making it one of the most interesting and complex versions around. Its balance is good, its texture crisp and its finish lingering.",
1112,Rioja Vega,Spain,90,"Widely available Rioja Crianzas don't come much better than this. An opening of raspberry and strawberry aromas backed by direct cherry, raspberry and red-plum flavors render this all about fruit and freshness.",Crianza
1113,Sketchbook,US,90,"This is a serious and satisfying dry wine with bold flavors, great structure and a mouth-filling texture. It is very well balanced in terms of fruit character and displays moderate tannins, good acidity and no excesses. It's easy to imagine on the table with a grilled rib eye.",
1114,Adelaida Cellars,US,90,"This is a richer take on the grape, with aromas of baked cherries, pie crust, allspice, nutmeg and a touch of bacon fat. The palate is quite juicy, accessible and action-packed, with roasted pork, cherry jelly, blackberry jam, star anise and baking spice flavors deep into the finish.",Anna's Vineyard Reserve
1115,CVA Canicattì,Italy,90,"Fragrant and fresh, this Grillo opens with alluring scents of acacia flower, beeswax and white stone fruit. The succulent palate offers creamy white peach, juicy nectarine, almond and mineral framed in tangy acidity. A note of chopped herb closes the lingering finish.",Aquilae Bio
1116,Domaine Collotte,France,90,"Full of yellow fruits, ripe apples and soft acidity, this is a rich wine with hints of spice and also attractive, perfumed acidity. It has a tangy, zesty character that is attractive and refreshing. Drink from 2017.",
1117,Domaine Faiveley,France,90,"With some firm structure behind the red fruits, this wine will have a good future. A dry core sustained by the acidity is waiting to burst out and give a ripe, fruity while always fresh wine. Drink from 2018.",Clos du Roy Premier Cru
1118,Domaine René Bouvier,France,90,"With intense acidity, this wine has both good structure and red currant and raspberry fruits. It is bright, fresh and almost crisp in character. In the background, the tannins show the dense texture of the wine. It will need to age, so don't drink before 2019.",Champ Salomon
1119,Casa Dumetz,US,90,"From the vineyard once known as Alisos comes this wine, with aromas of soft clove, red cherry and a touch of sage. A strong ginger spice reigns over the palate, which is bitingly acidic, and shows dark strawberry fruit and dark thyme herbs. This wine is still quite wound up, but that acidity will prove mouthwatering for years to come.",Flower & VIne
1120,Rios de Chile,Chile,90,"Pretty on the nose, with floral notes to go with plum, cherry and minerally aromas. While this is tannic as nails, it's super tasty, with mocha, blackberry and coffee flavors. Hard residual tannins make for a rough exit, but there's enough ripe fruit to make this work. Drink through 2021.",Gran Reserva
1121,Robert Weil,Germany,90,"Laser-edged mineral tones cut a crystalline edge through this bristling, honey-kissed Kabinett. Equal parts sweet and tart, it packs a punch of crisp tangerine and lemon refreshment.",Kabinett
1122,Scar of the Sea,US,90,"Winemakers Mikey Giugni and Michael Brughelli are the first to admit that this is an odd style of wine, but people are digging the pét-nat style. Aromas of sour apple, grass and passion fruit arise while the palate's very tight, bubbles unleash exotic tropical fruits like green papaya and green banana.",Amuse Shandon Hills Vineyard Methode Ancestrale
1123,Adelsheim,US,90,"Deceptively light and tight when first opened, this wine has flavors and character more in line with Gamay than most Pinots. Tart cranberry and raspberry fruit carries into a tangy finish, with citrus, mineral and herbal highlights.",
1124,Boeckel,France,90,"With a little airing, this wakes up to reveal dark red cherries held in a taut and firm body that nonetheless has a generous core. There is some gentle grip and frank, firm acidity. It's a very honest wine without any baroque frills—but bags of forthright appeal.",Les Terres Rouges
1125,Fritz Müller,Germany,90,"Delightfully fun and refreshing, this perlwein, or lightly sparkling white, is Germany's answer to Italian prosecco. Made from Müller-Thurgau grapes, it's gorgeously floral, but with a chalky, earthen tang. Sprightly acidity and a fresh, green touch lends vibrance to a moderately long finish.",Perlwein Trocken
1126,Nicolas Potel,France,90,"This is a tight, fruity wine with high levels of acidity. That is certainly typical of the vintage and brings out very young red currant and berry fruit flavors. Even though the tannins are light, the wine is definitely one to age, so should not be drunk before 2020.",Les Teurons Premier Cru
1127,Ousterhout,US,90,"Quince, lemon peel and honeydew make for compatible bedfellows in this no-oak white, which is light and inviting on the palate, with more underlying herbal flourishes than it first lets on. Dry and daring, it'll pair well with all manner of fresh seafood.",Redwood Ranch
1128,Peju,US,90,"This is a nice, full-bodied red with 3% Petit Verdot. Licorice, lavender and peppery leather gather around soft, pliable tannins and meaty blackberry fruit, finding length and breadth along the way.",
1129,Sequoia Grove,US,90,"Tonella has 16% Merlot within, from the estate vineyard around the winery. Cedar, currant and dried herb greet the nose and palate before allowing chalky, dusty tannin to season layers of chocolate and black cherry, staying structured and bright from start to finish.",Tonella Vineyard
1130,Sleeping Giant,US,90,"Dark gold in color, this wine was whole-cluster pressed and fermented for a lengthy six months, providing for a luxuriousness of stone fruit and melon dripping in honey and caramel. It's ripe and fleshy, with a slight voluptuousness. Aged in 50% new French oak for 17 months.",Buena Tierra Vineyard
1131,Sokol Blosser,US,90,"Dense and textural, this immediately displays a strong minerality, in its mouthfeel and racy freshness. It further amplifies the tart, tight fruit flavors of apple and citrus, grapefruit and pineapple.",
1132,Stolo,US,90,"Orange blossoms, night jasmine, ripe Pink Lady apples and a touch of bubblegum pop on the nose of this bottling from a coastal canyon vineyard behind Cambria. The palate shows a fine-tuned and textural grip, offering similar floral flavors as well as a botanical streak that shows a touch of pine needle and goes deep into the finish.",Estate
1133,Tsililis,,90,"Delicate white flowers and a spin of lemon peel on the nose start this refined white. The bright fruit on the palate is tropical and exotic, but the minerality gives it lift. Fuller-bodied but poised, the wine has aging potential and a food-friendly character.",Askitikos
1134,Jean-Marc Bernhard,France,90,"Very subtle hints of ripe, red apple hover above the glass. They become more apparent and richer on the slightly spiced palate that also shows hints of pepper and saffron. There is concentration on the palate and ample definition and structure provided by clean, brisk freshness.",
1135,Josmeyer,France,90,"Lovely notes of Reineclaude plums play on the nose. The palate is soft but also has echoes of pebble and stone. Fluid and fresh, the wine even shows overtones of white blossom on the palate. It's a lovely, lasting and authentic expression of Alsace.",H Vieilles Vignes
1136,Josmeyer,France,90,"A certain faint spiciness hovers over everything, recalling honeysuckle. The textured palate is fresh and equally pepper-spiced. This has freshness and verve, a certain ease and tons of lemony crispness. If you wanted to hold a party to welcome summer, this would be the perfect wine.",Mise du Printemps
1137,Willamette Valley Vineyards,US,90,"This bright and fruity Beaujolais-style wine is as light and refreshing as a young wine can possibly be. It delivers a smile-inducing burst of strawberry and cherry fruit—round, ripe and juicy. You absolutely want to drink this sometime in 2016 while all that youthful energy remains.",Whole Cluster
1138,Chateau Margene,US,90,"Winemaker Mike Mooney adds complexity with 16% Cabernet Sauvignon and 8% Merlot on this bottling, which shows blueberries, crushed black rocks and dark chocolate on the nose, but doesn't offer a lot of Cab Francness. The palate does offer some, however, with grippy tannins and dried oregano touches laid across rich black cherry, blueberry, fudge and espresso notes.",Signature Series
